segment_id,surface_type,reason,verified_by
14072,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
25629,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
33580,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
50173,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
107801,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
112224,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
142762,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
165921,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
169916,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
230054,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
250285,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
254137,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
275255,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
277250,pavement,OSM_EXPLICIT_SIDEWALK_PAVING_STONES_USER_VERIFIED_2026-08-13,USER_QGIS_STREETVIEW
194905,pavement,INHYEON_MARKET_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
8214,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
52003,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
52863,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
65696,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
74200,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
120314,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
162678,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
162816,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
165769,pavement,SAMSUNG_CYBER_VILLAGE_INTERNAL_WALKWAY_USER_VERIFIED_2026-08-14,USER_QGIS_MAP_REVIEW
